Date,UUP,SPY,TLT,SHY,UUP_CHOICE,SPY_CHOICE,TLT_CHOICE,SHY_CHOICE,DateCopy,18W-FRI_FREQ,UUP_LEN,UUP_LEX,UUP_NUL,UUP_R,SPY_LEN,SPY_LEX,SPY_NUL,SPY_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,SHY_LEN,SHY_LEX,SHY_NUL,SHY_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2013-01-22,-0.0009152090736106455,0.005393749470884002,0.0019156254993224486,0.00023701659560937394,0.0,0.0,0.0,1.0,2013-01-22,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00023701659560937394,0.00023701659560937394,0.00274369701568955,1.000248583666145,0.985885937786673
2013-01-23,0.0,0.0016093083885397874,-0.001496790593522146,0.0,0.0,0.0,0.0,1.0,2013-01-23,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006148503581369091,1.000248583666145,0.9852797654647427
2013-01-24,0.0,0.0002676436150608197,-0.0034969417558223803,0.0,0.0,0.0,0.0,1.0,2013-01-24,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006152286316813971,1.000248583666145,0.9846735931428124
2013-01-25,-0.002290436977645527,0.005621963185363565,-0.013704181052429432,-0.0004735256006694888,0.0,0.0,0.0,1.0,2013-01-25,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.0004735256006694888,-0.0004735256006694888,-0.007320342660216972,0.9997749403547457,0.97746544503254
2013-01-28,0.000459120790978762,-0.0011978316996328342,-0.003643647431550212,-0.00035600448876083046,0.0,0.0,0.0,1.0,2013-01-28,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,-0.00035600448876083046,-0.00035600448876083046,-0.005695646987929237,0.9994190159882288,0.9718981469147354
2013-01-29,-0.00275364282670032,0.003931288394931398,-0.005527013790611712,0.00011897415204953354,0.0,0.0,0.0,1.0,2013-01-29,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.00011897415204953354,0.00011897415204953354,0.001081605276750608,0.9995379210181982,0.9729493570789025
2013-01-30,-0.004141686714136061,-0.003915893886738742,-0.0017102301838063383,0.0003551000465455978,0.0,0.0,0.0,1.0,2013-01-30,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,0.0003551000465455978,0.0003551000465455978,0.004461872927235655,0.9998928569804758,0.9772905334748242
2013-01-31,-0.0009241821923524629,-0.0024654413098320616,0.004882369604537473,0.0001187200691483703,0.0,0.0,0.0,1.0,2013-01-31,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0001187200691483703,0.0001187200691483703,0.0010728178700707414,1.0000115643295975,0.9783389882233869
2013-02-01,-0.0009251289376069893,0.010287210290990334,-0.012984658614516587,-0.00010674642337704654,0.0,0.0,0.0,1.0,2013-02-01,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00010674642337704654,-0.00010674642337704654,-0.0021404613059065047,0.9999048166717696,0.976244891475035
2013-02-04,0.005092507091516207,-0.011240163080700527,0.012809006587131355,0.0002372395986498521,0.0,0.0,0.0,1.0,2013-02-04,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0002372395986498521,0.0002372395986498521,0.002766033837443338,1.0001420336891649,0.9789452178784862
2013-02-05,-0.00046041829468523865,0.010097587447043699,-0.008887240264356944,0.0,0.0,0.0,0.0,1.0,2013-02-05,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006192096461141716,1.0001420336891649,0.9783390455565585
2013-02-06,0.003225693695256604,0.0007282594338027248,0.008191450899824648,0.00023698567659757863,0.0,0.0,0.0,1.0,2013-02-06,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00023698567659757863,0.00023698567659757863,0.002757296665300668,1.0003790530257124,0.981036616544405
2013-02-07,0.0055121630784493725,-0.0013234041257610407,-0.0022239727582931135,0.0,0.0,0.0,0.0,1.0,2013-02-07,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006178895993356193,1.0003790530257124,0.9804304442224748
2013-02-08,0.0004568136900420239,0.005564421583843737,0.003857034973504092,0.00011826715790186348,0.0,0.0,0.0,1.0,2013-02-08,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00011826715790186348,0.00011826715790186348,0.0010637612525188356,1.0004973650131384,0.9814733881398285
2013-02-11,0.0009132102131574893,-0.00019782199735818295,-0.0007685089715246951,-0.0003551546824600571,0.0,0.0,0.0,1.0,2013-02-11,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,-0.0003551546824600571,-0.0003551546824600571,-0.005663965970108431,1.0001420336891649,0.9759143562688375
2013-02-12,-0.002280851967371711,0.0016478340469812114,-0.0024776708772785705,-0.00023718332937205933,0.0,0.0,0.0,1.0,2013-02-12,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00023718332937205933,-0.00023718332937205933,-0.004009236079148049,0.9999048166717696,0.972001685221526
2013-02-13,0.00045704980253935545,0.0008547389185016296,-0.008137708016210499,-0.00011852094949216241,0.0,0.0,0.0,1.0,2013-02-13,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011852094949216241,-0.00011852094949216241,-0.002323086483439596,0.9997863070034958,0.9697436412447074
2013-02-14,0.0027424072870951832,0.0009199388180611834,0.009067532435724335,0.00011853499837277681,0.0,0.0,0.0,1.0,2013-02-14,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00011853499837277681,0.00011853499837277681,0.0010783255372714962,0.9999048166717696,0.9707893405776682
2013-02-15,0.0009114546802215795,-0.0011819068245558784,-0.0029096824463521465,0.00011901519865609167,0.0,0.0,0.0,1.0,2013-02-15,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,1.0,0.00011901519865609167,0.00011901519865609167,0.0010842598161853179,1.000023820542163,0.9718419284496376
2013-02-19,0.0004554479742693296,0.007494609631516491,-0.004978381968728907,-0.00011900103572415333,0.0,0.0,0.0,1.0,2013-02-19,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011900103572415333,-0.00011900103572415333,-0.0023305564922919686,0.9999048166717697,0.9695769959338078
2013-02-20,0.007282584863018471,-0.012463074248558526,0.003019315832551772,0.0,0.0,0.0,0.0,1.0,2013-02-20,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0,0.0,-0.0006251925576539197,0.9999048166717697,0.9689708236118775
2013-02-21,0.004066825684859721,-0.006079193400038152,0.0058486377818500745,0.00035556284847659825,0.0,0.0,0.0,1.0,2013-02-21,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.00035556284847659825,0.00035556284847659825,0.004488724053137494,1.000260345676591,0.9733202662546125
2013-02-22,0.00045011872249922646,0.00977261974839383,0.0006836811358692518,0.0,0.0,0.0,0.0,1.0,2013-02-22,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.0,0.0,-0.0006227881437862459,1.000260345676591,0.9727140939326823
2013-02-25,0.004048620605322739,-0.019026894444688636,0.019652974416687785,0.0002369576456489053,0.0,0.0,0.0,1.0,2013-02-25,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0002369576456489053,0.0002369576456489053,0.002773241391969883,1.0004973650131386,0.9754116649205289
2013-02-26,0.0008960260993400304,0.006845930135779055,-0.005782407425744984,0.00023690151002475623,0.0,0.0,0.0,1.0,2013-02-26,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.00023690151002475623,0.00023690151002475623,0.0027655717938015467,1.0007343843496859,0.9781092359083781
2013-02-27,-0.004028596681342922,0.01259828585669509,-0.002949200383177142,0.0,0.0,0.0,0.0,1.0,2013-02-27,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.0006197388795406988,1.0007343843496859,0.9775030635864478
2013-02-28,0.005393248720649613,-0.001974912521576666,0.0018590078294913326,-0.00011891653994744456,0.0,0.0,0.0,1.0,2013-02-28,left_only,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,-0.00011891653994744456,-0.00011891653994744456,-0.002317059250453779,1.0006153804792925,0.9752381310706179
2013-03-01,0.0031292592485747672,0.0032976302626059883,0.005446047832496026,0.00021346279524236955,0.0,0.0,0.0,1.0,2013-03-01,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,0.00021346279524236955,0.00021346279524236955,0.0024312566984150408,1.0008289746353722,0.977609185309333
2013-03-04,-0.0004456172227695898,0.005325296954151071,-0.005298437207933104,-0.00011831274958140625,0.0,0.0,0.0,1.0,2013-03-04,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011831274958140625,-0.00011831274958140625,-0.0023083521543451058,1.0007105638075224,0.9753525190403167
2013-03-05,-0.0013375361838104949,0.00895921584349657,-0.002875012950417255,-0.00011862305986853894,0.0,0.0,0.0,1.0,2013-03-05,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011862305986853894,-0.00011862305986853894,-0.0023179305413058016,1.0005918564584009,0.9730917196478936
2013-03-06,0.004017805460031498,0.0013605600944603946,-0.009073269559399133,-0.00011804444121321644,0.0,0.0,0.0,1.0,2013-03-06,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.00011804444121321644,-0.00011804444121321644,-0.0023148209979885204,1.0004737421518228,0.970839186502284
2013-03-07,-0.004446442144381946,0.001812487350522085,-0.007700754763417583,-0.0002363143419391589,0.0,0.0,0.0,1.0,2013-03-07,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.0002363143419391589,-0.0002363143419391589,-0.004018842089540953,1.0002373158578188,0.9669375371173928
2013-03-08,0.00759276541134235,0.004264138222460634,-0.010435231565006475,0.00011739456401893555,0.0,0.0,0.0,1.0,2013-03-08,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.00011739456401893555,0.00011739456401893555,0.0010657819223833798,1.0003547382814295,0.9679680816645264
2013-03-11,-0.002216410645214051,0.003795591898639872,0.0009583486172812794,-0.00011738078415302056,0.0,0.0,0.0,1.0,2013-03-11,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0,-0.00011738078415302056,-0.00011738078415302056,-0.0023171106914363637,1.0002373158578188,0.9657251924735324
2013-03-12,-0.0004442315222488169,-0.0022432161580328014,0.007226362849697132,0.00023637019960731642,0.0,0.0,0.0,1.0,2013-03-12,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.00023637019960731642,0.00023637019960731642,0.002784751564930188,1.0004737421518228,0.9684144972145655
2013-03-13,0.004000125315550385,0.001413201794831176,-0.001037090137235519,-0.0002363143419391589,1.0,0.0,0.0,0.0,2013-03-13,left_only,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,-0.0002363143419391589,-0.0002363143419391589,-0.0040289043546083425,1.0002373158578188,0.964512847829672
2013-03-14,-0.003984188064013572,0.005323934868326496,-0.0030282988531192823,0.0,1.0,0.0,0.0,0.0,2013-03-14,left_only,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,0.0,-0.0,False,False,1.0,0.0,0.0,-0.000628475113933713,1.0002373158578188,0.9639066755077417
2013-03-15,-0.004444377766373853,-0.0013199203171372353,0.004686567620529436,0.0003544564824378149,1.0,0.0,0.0,0.0,2013-03-15,left_only,False,False,0.0,-0.0,False,False,0.0,-0.0,False,False,0.0,0.0,False,False,1.0,0.0003544564824378149,0.0003544564824378149,0.00449801383772841,1.0005918564584009,0.9682423410724543
